"case_1","case_2","accused_in_common"
"Caso ERE/A-NOVO","Caso ERE/Sierra Norte de Sevilla",1
"Caso ERE/A-NOVO","Caso ERE/Sobrecomisiones",1
"Caso ERE/A-NOVO","Caso ERE/Surcolor",2
"Caso ERE/A-NOVO","Caso ERE/Universidad de Sevilla",2
"Caso ERE/A-NOVO","Caso ERE/Yogures Andaluces",1
"Caso ERE/A-NOVO","Caso Umax",2
"Caso ERE/Acyco","Caso ERE/Aglomerados Morell",2
"Caso ERE/Acyco","Caso ERE/Alcolea del Río",1
"Caso ERE/Acyco","Caso ERE/Ayuntamiento San Nicolás",1
"Caso ERE/Acyco","Caso ERE/CENFORPRE",1
"Caso ERE/Acyco","Caso ERE/Empresa ABB",1
"Caso ERE/Acyco","Caso ERE/Guerrero y Trujillo",1
"Caso ERE/Acyco","Caso ERE/Peninsular del Latón",1
"Caso ERE/Acyco","Caso ERE/Río Grande",2
"Caso ERE/Acyco","Caso ERE/Siemens Metering",1
"Caso ERE/Acyco","Caso ERE/Universidad de Sevilla",2
"Caso ERE/Aglomerados Morell","Caso ERE/Alcolea del Río",1
"Caso ERE/Aglomerados Morell","Caso ERE/Ayuntamiento San Nicolás",1
"Caso ERE/Aglomerados Morell","Caso ERE/CENFORPRE",1
"Caso ERE/Aglomerados Morell","Caso ERE/Egmasa",1
"Caso ERE/Aglomerados Morell","Caso ERE/Empresa ABB",1
"Caso ERE/Aglomerados Morell","Caso ERE/Guerrero y Trujillo",1
"Caso ERE/Aglomerados Morell","Caso ERE/Hamsa Primayor",2
"Caso ERE/Aglomerados Morell","Caso ERE/Heineken España",1
"Caso ERE/Aglomerados Morell","Caso ERE/Nexprom",1
"Caso ERE/Aglomerados Morell","Caso ERE/Peninsular del Latón",1
"Caso ERE/Aglomerados Morell","Caso ERE/Pieza Política",2
"Caso ERE/Aglomerados Morell","Caso ERE/Río Grande",3
"Caso ERE/Aglomerados Morell","Caso ERE/Santana Motor",2
"Caso ERE/Aglomerados Morell","Caso ERE/Siemens Metering",1
"Caso ERE/Aglomerados Morell","Caso ERE/Sierra Norte de Sevilla",3
"Caso ERE/Aglomerados Morell","Caso ERE/Yogures Andaluces",2
"Caso ERE/Aglomerados Morell","Caso Umax",2
"Caso ERE/Alcolea del Río","Caso ERE/Ayuntamiento San Nicolás",1
"Caso ERE/Alcolea del Río","Caso ERE/CENFORPRE",1
"Caso ERE/Alcolea del Río","Caso ERE/Egmasa",2
"Caso ERE/Alcolea del Río","Caso ERE/Empresa ABB",1
"Caso ERE/Alcolea del Río","Caso ERE/Franja Pirítica",2
"Caso ERE/Alcolea del Río","Caso ERE/Guerrero y Trujillo",1
"Caso ERE/Alcolea del Río","Caso ERE/Hamsa Primayor",1
"Caso ERE/Alcolea del Río","Caso ERE/Heineken España",1
"Caso ERE/Alcolea del Río","Caso ERE/Instaladora Moderna",1
"Caso ERE/Alcolea del Río","Caso ERE/Matadero Fuenteobejuna",1
"Caso ERE/Alcolea del Río","Caso ERE/Nexprom",1
"Caso ERE/Alcolea del Río","Caso ERE/Peninsular del Latón",1
